dataset	consensus	consensus_label	phy_group	group_label	filename	reason	detail
CDS	NA	NA	NA	NA	group0_BCAT2_ENSG00000105552.15_ENST00000316273.11_chr19_cds_start48795429_cds_end48811007_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_BCL2L12_ENSG00000126453.11_ENST00000246784.8_chr19_cds_start49666693_cds_end49673745_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_BCL9_ENSG00000116128.12_ENST00000234739.8_chr1_cds_start147611837_cds_end147624956_inv_start146298109_inv_end148672872.phy	CDS_CONSENSUS_NA	File header inversion (1:146298109-148672872) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_BSPH1_ENSG00000188334.3_ENST00000344839.3_chr19_cds_start47976715_cds_end47992081_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_C19orf73_ENSG00000221916.4_ENST00000408991.4_chr19_cds_start49118636_cds_end49119022_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CA11_ENSG00000063180.9_ENST00000084798.9_chr19_cds_start48638122_cds_end48645632_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CABP5_ENSG00000105507.3_ENST00000293255.3_chr19_cds_start48030560_cds_end48043922_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CARD8_ENSG00000105483.18_ENST00000651546.1_chr19_cds_start48211713_cds_end48241020_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CCDC138_ENSG00000163006.12_ENST00000295124.9_chr2_cds_start108786823_cds_end108876250_inv_start108527821_inv_end109733036.phy	CDS_CONSENSUS_NA	File header inversion (2:108527821-109733036) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CCL3L3_ENSG00000276085.1_ENST00000619989.1_chr17_cds_start36195289_cds_end36196673_inv_start36109569_inv_end36223772.phy	CDS_CONSENSUS_NA	File header inversion (17:36109569-36223772) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CCL4L2_ENSG00000276070.5_ENST00000620576.5_chr17_cds_start36211142_cds_end36212566_inv_start36109569_inv_end36223772.phy	CDS_CONSENSUS_NA	File header inversion (17:36109569-36223772) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CD160_ENSG00000117281.16_ENST00000369288.7_chr1_cds_start145728328_cds_end145738490_inv_start145160434_inv_end146154520.phy	CDS_CONSENSUS_NA	File header inversion (1:145160434-146154520) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CD37_ENSG00000104894.12_ENST00000323906.9_chr19_cds_start49335541_cds_end49340325_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CDR2_ENSG00000140743.8_ENST00000268383.7_chr16_cds_start22346968_cds_end22374309_inv_start21583511_inv_end22432381.phy	CDS_CONSENSUS_NA	File header inversion (16:21583511-22432381) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CDR2_ENSG00000140743.8_ENST00000268383.7_chr16_cds_start22346968_cds_end22374309_inv_start21864964_inv_end22432381.phy	CDS_CONSENSUS_NA	File header inversion (16:21864964-22432381) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CGB1_ENSG00000267631.5_ENST00000301407.8_chr19_cds_start49035613_cds_end49036711_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CGB2_ENSG00000104818.15_ENST00000359342.7_chr19_cds_start49032096_cds_end49033218_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CGB3_ENSG00000104827.12_ENST00000357383.4_chr19_cds_start49022889_cds_end49023971_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CGB5_ENSG00000189052.7_ENST00000301408.7_chr19_cds_start49044210_cds_end49045291_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CGB7_ENSG00000196337.14_ENST00000684222.1_chr19_cds_start49054294_cds_end49055375_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CGB8_ENSG00000213030.6_ENST00000448456.4_chr19_cds_start49047658_cds_end49048739_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CHD1L_ENSG00000131778.20_ENST00000369258.8_chr1_cds_start147242704_cds_end147295506_inv_start146298109_inv_end148672872.phy	CDS_CONSENSUS_NA	File header inversion (1:146298109-148672872) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CKAP2_ENSG00000136108.15_ENST00000258607.10_chr13_cds_start52455557_cds_end52475138_inv_start52344010_inv_end52502256.phy	CDS_CONSENSUS_NA	File header inversion (13:52344010-52502256) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CNTNAP3B_ENSG00000154529.15_ENST00000377561.7_chr9_cds_start41893992_cds_end42129094_inv_start38773640_inv_end42796744.phy	CDS_CONSENSUS_NA	File header inversion (9:38773640-42796744) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CNTNAP3_ENSG00000106714.18_ENST00000297668.11_chr9_cds_start39073893_cds_end39288064_inv_start38773640_inv_end42796744.phy	CDS_CONSENSUS_NA	File header inversion (9:38773640-42796744) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CPT1C_ENSG00000169169.15_ENST00000598293.6_chr19_cds_start49692253_cds_end49713602_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CYFIP1_ENSG00000273749.5_ENST00000617928.5_chr15_cds_start22870031_cds_end22947285_inv_start22701127_inv_end23213881.phy	CDS_CONSENSUS_NA	File header inversion (15:22701127-23213881) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_CYTH2_ENSG00000105443.17_ENST00000452733.7_chr19_cds_start48469508_cds_end48479207_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_DBP_ENSG00000105516.11_ENST00000222122.10_chr19_cds_start48630840_cds_end48636994_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_DHDH_ENSG00000104808.8_ENST00000221403.7_chr19_cds_start48933722_cds_end48944930_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_DKKL1_ENSG00000104901.7_ENST00000221498.7_chr19_cds_start49363999_cds_end49375025_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_EDAR_ENSG00000135960.10_ENST00000258443.7_chr2_cds_start108896910_cds_end108931014_inv_start108527821_inv_end109733036.phy	CDS_CONSENSUS_NA	File header inversion (2:108527821-109733036) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_EEF2K_ENSG00000103319.12_ENST00000263026.10_chr16_cds_start22225730_cds_end22283993_inv_start21583511_inv_end22432381.phy	CDS_CONSENSUS_NA	File header inversion (16:21583511-22432381) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_EEF2K_ENSG00000103319.12_ENST00000263026.10_chr16_cds_start22225730_cds_end22283993_inv_start21864964_inv_end22432381.phy	CDS_CONSENSUS_NA	File header inversion (16:21864964-22432381) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_ELSPBP1_ENSG00000169393.10_ENST00000339841.7_chr19_cds_start48008668_cds_end48022324_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_EMP3_ENSG00000142227.12_ENST00000270221.11_chr19_cds_start48326845_cds_end48330467_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_ENSG00000237378_ENSG00000237378.3_ENST00000611641.1_chr13_cds_start63746801_cds_end63747187_inv_start63727377_inv_end63820968.phy	CDS_CONSENSUS_NA	File header inversion (13:63727377-63820968) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_ENSG00000288626_ENSG00000288626.1_ENST00000675347.1_chr1_cds_start147611590_cds_end147611793_inv_start146298109_inv_end148672872.phy	CDS_CONSENSUS_NA	File header inversion (1:146298109-148672872) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_FAM83E_ENSG00000105523.4_ENST00000263266.4_chr19_cds_start48601112_cds_end48613372_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_FBXW10_ENSG00000171931.13_ENST00000395665.9_chr17_cds_start18744245_cds_end18779295_inv_start18622359_inv_end18823773.phy	CDS_CONSENSUS_NA	File header inversion (17:18622359-18823773) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_FCGRT_ENSG00000104870.13_ENST00000221466.10_chr19_cds_start49513401_cds_end49526116_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_FGF21_ENSG00000105550.10_ENST00000593756.6_chr19_cds_start48756237_cds_end48758217_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_FLT3LG_ENSG00000090554.13_ENST00000597551.6_chr19_cds_start49474640_cds_end49480596_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_FMO5_ENSG00000131781.13_ENST00000254090.9_chr1_cds_start147186903_cds_end147225029_inv_start146298109_inv_end148672872.phy	CDS_CONSENSUS_NA	File header inversion (1:146298109-148672872) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_FOXD4L6_ENSG00000273514.2_ENST00000622588.2_chr9_cds_start41127133_cds_end41128383_inv_start38773640_inv_end42796744.phy	CDS_CONSENSUS_NA	File header inversion (9:38773640-42796744) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_FOXO3B_ENSG00000240445.6_ENST00000395675.7_chr17_cds_start18672312_cds_end18681651_inv_start18622359_inv_end18823773.phy	CDS_CONSENSUS_NA	File header inversion (17:18622359-18823773) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_FTL_ENSG00000087086.16_ENST00000331825.11_chr19_cds_start48965508_cds_end48966732_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_FUT1_ENSG00000174951.12_ENST00000645652.2_chr19_cds_start48750187_cds_end48751281_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_FUT2_ENSG00000176920.14_ENST00000425340.3_chr19_cds_start48702957_cds_end48703985_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_FUZ_ENSG00000010361.14_ENST00000313777.9_chr19_cds_start49807154_cds_end49813106_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_GFY_ENSG00000261949.7_ENST00000610896.3_chr19_cds_start49426431_cds_end49428815_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_GJA5_ENSG00000265107.3_ENST00000579774.3_chr1_cds_start147758165_cds_end147759238_inv_start146298109_inv_end148672872.phy	CDS_CONSENSUS_NA	File header inversion (1:146298109-148672872) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_GJA8_ENSG00000121634.6_ENST00000369235.2_chr1_cds_start147907956_cds_end147909254_inv_start146298109_inv_end148672872.phy	CDS_CONSENSUS_NA	File header inversion (1:146298109-148672872) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_GOLGA6L1_ENSG00000273976.2_ENST00000614055.2_chr15_cds_start23128793_cds_end23136731_inv_start22701127_inv_end23213881.phy	CDS_CONSENSUS_NA	File header inversion (15:22701127-23213881) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_GOLGA6L24_ENSG00000237850.8_ENST00000568624.2_chr15_cds_start28350254_cds_end28358023_inv_start28298424_inv_end28623514.phy	CDS_CONSENSUS_NA	File header inversion (15:28298424-28623514) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_GOLGA6L25_ENSG00000227717.5_ENST00000620691.5_chr15_cds_start28553629_cds_end28561376_inv_start28298424_inv_end28623514.phy	CDS_CONSENSUS_NA	File header inversion (15:28298424-28623514) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_GOLGA6L9_ENSG00000197978.10_ENST00000618348.2_chr15_cds_start82430080_cds_end82436408_inv_start82360482_inv_end82515134.phy	CDS_CONSENSUS_NA	File header inversion (15:82360482-82515134) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_GOLGA8F_ENSG00000153684.16_ENST00000526619.7_chr15_cds_start28378762_cds_end28389060_inv_start28298424_inv_end28623514.phy	CDS_CONSENSUS_NA	File header inversion (15:28298424-28623514) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_GOLGA8G_ENSG00000183629.14_ENST00000525590.3_chr15_cds_start28522576_cds_end28532909_inv_start28298424_inv_end28623514.phy	CDS_CONSENSUS_NA	File header inversion (15:28298424-28623514) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_GPR89A_ENSG00000117262.19_ENST00000313835.14_chr1_cds_start145608134_cds_end145670037_inv_start145160434_inv_end146154520.phy	CDS_CONSENSUS_NA	File header inversion (1:145160434-146154520) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_GPR89B_ENSG00000188092.15_ENST00000314163.12_chr1_cds_start147928537_cds_end147992914_inv_start146298109_inv_end148672872.phy	CDS_CONSENSUS_NA	File header inversion (1:146298109-148672872) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_GRIN2D_ENSG00000105464.4_ENST00000263269.4_chr19_cds_start48398393_cds_end48443934_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_GRWD1_ENSG00000105447.13_ENST00000253237.10_chr19_cds_start48446006_cds_end48453022_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_GYS1_ENSG00000104812.15_ENST00000323798.8_chr19_cds_start48969291_cds_end48993112_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_HEATR6_ENSG00000068097.16_ENST00000184956.11_chr17_cds_start60043566_cds_end60078914_inv_start60035640_inv_end60110888.phy	CDS_CONSENSUS_NA	File header inversion (17:60035640-60110888) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_HJV_ENSG00000168509.20_ENST00000336751.11_chr1_cds_start146018080_cds_end146020231_inv_start145160434_inv_end146154520.phy	CDS_CONSENSUS_NA	File header inversion (1:145160434-146154520) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_HRC_ENSG00000130528.12_ENST00000252825.9_chr19_cds_start49151299_cds_end49155237_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_HSD17B14_ENSG00000087076.9_ENST00000263278.9_chr19_cds_start48813178_cds_end48836411_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_IGSF6_ENSG00000140749.9_ENST00000268389.6_chr16_cds_start21641537_cds_end21652598_inv_start21583511_inv_end22432381.phy	CDS_CONSENSUS_NA	File header inversion (16:21583511-22432381) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_IL4I1_ENSG00000104951.16_ENST00000391826.7_chr19_cds_start49889673_cds_end49896160_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_IRF3_ENSG00000126456.16_ENST00000377139.8_chr19_cds_start49659651_cds_end49664838_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_ITGA10_ENSG00000143127.13_ENST00000369304.8_chr1_cds_start145892801_cds_end145910014_inv_start145160434_inv_end146154520.phy	CDS_CONSENSUS_NA	File header inversion (1:145160434-146154520) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_IZUMO1_ENSG00000182264.9_ENST00000332955.7_chr19_cds_start48740911_cds_end48745859_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_KASH5_ENSG00000161609.10_ENST00000447857.8_chr19_cds_start49390884_cds_end49417507_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_KCNA7_ENSG00000104848.2_ENST00000221444.2_chr19_cds_start49070066_cds_end49072585_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_KCNJ14_ENSG00000182324.7_ENST00000342291.3_chr19_cds_start48461725_cds_end48464774_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_KDELR1_ENSG00000105438.9_ENST00000330720.7_chr19_cds_start48383296_cds_end48391358_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_LDOC1_ENSG00000182195.9_ENST00000370526.5_chrX_cds_start141176584_cds_end141177021_inv_start141110160_inv_end141232877.phy	CDS_CONSENSUS_NA	File header inversion (X:141110160-141232877) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_LHB_ENSG00000104826.15_ENST00000649238.3_chr19_cds_start49016071_cds_end49017081_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_LIG1_ENSG00000105486.15_ENST00000263274.12_chr19_cds_start48115652_cds_end48165566_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_LIMS1_ENSG00000169756.17_ENST00000544547.6_chr2_cds_start108534563_cds_end108683996_inv_start108527821_inv_end109733036.phy	CDS_CONSENSUS_NA	File header inversion (2:108527821-109733036) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_LIN7B_ENSG00000104863.12_ENST00000221459.7_chr19_cds_start49114405_cds_end49118370_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_LIX1L_ENSG00000271601.4_ENST00000604000.4_chr1_cds_start145936313_cds_end145957927_inv_start145160434_inv_end146154520.phy	CDS_CONSENSUS_NA	File header inversion (1:145160434-146154520) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_LMTK3_ENSG00000142235.13_ENST00000600059.6_chr19_cds_start48485776_cds_end48511576_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_MAMSTR_ENSG00000176909.13_ENST00000318083.11_chr19_cds_start48713270_cds_end48719031_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_MED25_ENSG00000104973.19_ENST00000312865.10_chr19_cds_start49818342_cds_end49836941_inv_start47959660_inv_end50091195.phy	CDS_CONSENSUS_NA	File header inversion (19:47959660-50091195) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_METTL9_ENSG00000197006.15_ENST00000358154.8_chr16_cds_start21599734_cds_end21655429_inv_start21583511_inv_end22432381.phy	CDS_CONSENSUS_NA	File header inversion (16:21583511-22432381) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_MOSMO_ENSG00000185716.12_ENST00000542527.7_chr16_cds_start22008302_cds_end22080877_inv_start21583511_inv_end22432381.phy	CDS_CONSENSUS_NA	File header inversion (16:21583511-22432381) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_MOSMO_ENSG00000185716.12_ENST00000542527.7_chr16_cds_start22008302_cds_end22080877_inv_start21864964_inv_end22432381.phy	CDS_CONSENSUS_NA	File header inversion (16:21864964-22432381) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_MTLN_ENSG00000175701.11_ENST00000611969.5_chr2_cds_start110212358_cds_end110212525_inv_start110095177_inv_end110276210.phy	CDS_CONSENSUS_NA	File header inversion (2:110095177-110276210) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_MUC20_ENSG00000176945.18_ENST00000447234.7_chr3_cds_start195721008_cds_end195733215_inv_start195692124_inv_end195956606.phy	CDS_CONSENSUS_NA	File header inversion (3:195692124-195956606) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_MUC4_ENSG00000145113.22_ENST00000463781.8_chr3_cds_start195747179_cds_end195811817_inv_start195692124_inv_end195956606.phy	CDS_CONSENSUS_NA	File header inversion (3:195692124-195956606) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_NBPF10_ENSG00000271425.9_ENST00000583866.9_chr1_cds_start146066321_cds_end146144769_inv_start145160434_inv_end146154520.phy	CDS_CONSENSUS_NA	File header inversion (1:145160434-146154520) matched inv_info row but consensus was NA
CDS	NA	NA	NA	NA	group0_NBPF11_ENSG00000263956.8_ENST00000682118.1_chr1_cds_start148103899_cds_end148127003_inv_start146298109_inv_end148672872.phy	CDS_CONSENSUS_NA	File header inversion (1:146298109-148672872) matched inv_info row but consensus was NA
