phy_filename	transcript_id	gene_name	chromosome	haplotype_group	overall_cds_start_1based	overall_cds_end_1based	spliced_cds_length	cds_segment_coords_1based
group0_ITGA10_ENSG00000143127.13_ENST00000369304.8_chr1_cds_start145892801_cds_end145910014_inv_start145160434_inv_end146154520.phy.gz	ENST00000369304.8	ITGA10	1	0	145892801	145910014	3501	145909963-145910014;145907354-145907465;145907041-145907150;145906733-145906824;145906394-145906508;145904684-145904811;145904052-145904200;145902811-145902961;145902454-145902619;145902246-145902319;145901877-145902021;145901516-145901664;145901135-145901278;145900790-145900993;145900057-145900187;145899175-145899341;145898936-145899078;145898110-145898223;145897815-145897900;145897512-145897653;145897247-145897339;145897011-145897087;145896769-145896858;145896268-145896352;145895983-145896096;145895631-145895711;145895280-145895393;145893540-145893635;145893161-145893274;145892801-145892863
group0_PEX11B_ENSG00000131779.11_ENST00000369306.8_chr1_cds_start145912164_cds_end145918688_inv_start145160434_inv_end146154520.phy.gz	ENST00000369306.8	PEX11B	1	0	145912164	145918688	777	145918633-145918688;145917701-145917816;145916817-145917018;145912164-145912566
group0_POLR3GL_ENSG00000121851.13_ENST00000369314.2_chr1_cds_start145974866_cds_end145978444_inv_start145160434_inv_end146154520.phy.gz	ENST00000369314.2	POLR3GL	1	0	145974866	145978444	654	145974866-145974991;145975307-145975436;145977084-145977152;145977483-145977539;145977778-145977851;145977983-145978096;145978361-145978444
group0_PIAS3_ENSG00000131788.16_ENST00000393045.7_chr1_cds_start145849449_cds_end145858990_inv_start145160434_inv_end146154520.phy.gz	ENST00000393045.7	PIAS3	1	0	145849449	145858990	1884	145858967-145858990;145856589-145857006;145856347-145856431;145856068-145856118;145855736-145855826;145854746-145854880;145854458-145854563;145853813-145853886;145853504-145853664;145851020-145851153;145850771-145850939;145850453-145850586;145850232-145850269;145849449-145849712
group0_PDZK1_ENSG00000174827.14_ENST00000417171.6_chr1_cds_start145671439_cds_end145688021_inv_start145160434_inv_end146154520.phy.gz	ENST00000417171.6	PDZK1	1	0	145671439	145688021	1557	145687812-145688021;145686477-145686726;145682500-145682636;145680912-145681107;145678449-145678645;145673657-145673881;145672730-145673020;145671439-145671489
group0_PPIAL4D_ENSG00000289549.1_ENST00000544708.3_chr1_cds_start145241633_cds_end145242124_inv_start145160434_inv_end146154520.phy.gz	ENST00000544708.3	PPIAL4D	1	0	145241633	145242124	492	145241633-145242124
group0_TXNIP_ENSG00000265972.6_ENST00000582401.6_chr1_cds_start145993854_cds_end145996266_inv_start145160434_inv_end146154520.phy.gz	ENST00000582401.6	TXNIP	1	0	145993854	145996266	1173	145996017-145996266;145995404-145995476;145995144-145995291;145994929-145995031;145994544-145994800;145994281-145994437;145994016-145994167;145993854-145993886
group0_RNF115_ENSG00000265491.5_ENST00000582693.5_chr1_cds_start145746869_cds_end145823873_inv_start145160434_inv_end146154520.phy.gz	ENST00000582693.5	RNF115	1	0	145746869	145823873	912	145823772-145823873;145788908-145788966;145784539-145784596;145771711-145771919;145752978-145753049;145751438-145751510;145750407-145750500;145747995-145748110;145746869-145746997
group0_RBM8A_ENSG00000265241.8_ENST00000583313.7_chr1_cds_start145925885_cds_end145927426_inv_start145160434_inv_end146154520.phy.gz	ENST00000583313.7	RBM8A	1	0	145925885	145927426	522	145927360-145927426;145927018-145927077;145926809-145926886;145926482-145926618;145926041-145926177;145925885-145925927
group0_NBPF10_ENSG00000271425.9_ENST00000583866.9_chr1_cds_start146066321_cds_end146144769_inv_start145160434_inv_end146154520.phy.gz	ENST00000583866.9	NBPF10	1	0	146066321	146144769	11385	146144595-146144769;146142650-146142752;146141604-146141818;146140484-146140556;146139809-146140020;146138236-146138445;146136353-146136455;146135307-146135521;146134193-146134265;146133523-146133728;146132186-146132237;146128119-146128282;146127028-146127079;146126236-146126408;146125465-146125516;146124688-146124860;146123927-146123978;146123106-146123278;146122283-146122391;146121498-146121670;146120725-146120776;146119956-146120128;146119195-146119246;146118370-146118542;146117547-146117655;146116772-146116944;146115999-146116050;146115230-146115402;146114469-146114520;146113652-146113824;146112829-146112937;146112054-146112226;146111281-146111332;146110512-146110684;146109751-146109802;146108942-146109114;146108119-146108227;146107344-146107516;146106573-146106624;146105804-146105976;146105043-146105094;146104224-146104396;146103401-146103509;146102626-146102798;146101855-146101906;146101086-146101258;146100325-146100376;146099502-146099674;146098679-146098787;146097904-146098076;146097133-146097184;146096364-146096536;146095603-146095654;146094780-146094952;146093957-146094065;146093182-146093354;146092411-146092462;146091642-146091814;146090881-146090932;146090062-146090234;146089239-146089347;146088464-146088636;146087693-146087744;146086924-146087096;146086164-146086215;146085341-146085513;146084518-146084626;146083737-146083909;146082966-146083017;146082197-146082369;146081436-146081487;146080605-146080777;146079782-146079890;146079007-146079179;146078236-146078287;146077467-146077639;146076706-146076757;146075869-146076041;146075046-146075154;146074271-146074443;146073500-146073551;146072729-146072901;146071968-146072019;146071147-146071319;146070324-146070432;146069543-146069715;146068772-146068823;146068003-146068175;146067180-146067288;146066321-146066561
group0_LIX1L_ENSG00000271601.4_ENST00000604000.4_chr1_cds_start145936313_cds_end145957927_inv_start145160434_inv_end146154520.phy.gz	ENST00000604000.4	LIX1L	1	0	145936313	145957927	1011	145957636-145957927;145947619-145947782;145942713-145942853;145937604-145937699;145936908-145936985;145936313-145936552
group0_ANKRD34A_ENSG00000272031.3_ENST00000606888.3_chr1_cds_start145960272_cds_end145961759_inv_start145160434_inv_end146154520.phy.gz	ENST00000606888.3	ANKRD34A	1	0	145960272	145961759	1488	145960272-145961759
group0_NBPF20_ENSG00000162825.18_ENST00000698833.1_chr1_cds_start145291529_cds_end145405272_inv_start145160434_inv_end146154520.phy.gz	ENST00000698833.1	NBPF20	1	0	145291529	145405272	16935	145405098-145405272;145403216-145403318;145402167-145402381;145401059-145401131;145400389-145400594;145399049-145399100;145394978-145395141;145393884-145393935;145393074-145393246;145392303-145392354;145391530-145391702;145390769-145390820;145389944-145390116;145389121-145389229;145388318-145388490;145387547-145387598;145386774-145386946;145386013-145386064;145385194-145385366;145384371-145384479;145383570-145383742;145382799-145382850;145382018-145382190;145381257-145381308;145380440-145380612;145379617-145379725;145378814-145378986;145378043-145378094;145377266-145377438;145376505-145376556;145375688-145375860;145374865-145374973;145374064-145374236;145373293-145373344;145372512-145372684;145371751-145371802;145370940-145371112;145370117-145370225;145369316-145369488;145368545-145368596;145367764-145367936;145367003-145367054;145366180-145366352;145365357-145365465;145364556-145364728;145363785-145363836;145363004-145363176;145362243-145362294;145361426-145361598;145360603-145360711;145359802-145359974;145359031-145359082;145358251-145358423;145357490-145357541;145356679-145356851;145355856-145355964;145355055-145355227;145354284-145354335;145353503-145353675;145352742-145352793;145351917-145352089;145351094-145351202;145350291-145350463;145349520-145349571;145348739-145348911;145347978-145348029;145347145-145347317;145346322-145346430;145345521-145345693;145344750-145344801;145343969-145344141;145343208-145343259;145342387-145342559;145341564-145341672;145340767-145340939;145339996-145340047;145339215-145339387;145338454-145338505;145337637-145337809;145336814-145336922;145336013-145336185;145335242-145335293;145334459-145334631;145333698-145333749;145332881-145333053;145332058-145332166;145331257-145331429;145330486-145330537;145329706-145329878;145328945-145328996;145328114-145328286;145327291-145327399;145326490-145326662;145325719-145325770;145324946-145325118;145324185-145324236;145323366-145323538;145322543-145322651;145321740-145321912;145320969-145321020;145320196-145320368;145319435-145319486;145318604-145318776;145317781-145317889;145316978-145317150;145316207-145316258;145315426-145315598;145314665-145314716;145313832-145314004;145313009-145313117;145312208-145312380;145311437-145311488;145310658-145310830;145309897-145309948;145309076-145309248;145308253-145308361;145307477-145307649;145306716-145306767;145305893-145306065;145305070-145305178;145304294-145304466;145303533-145303584;145302724-145302896;145301901-145302009;145301100-145301272;145300329-145300380;145299548-145299720;145298787-145298838;145297962-145298134;145297139-145297247;145296338-145296510;145295567-145295618;145294782-145294954;145294021-145294072;145293204-145293376;145292381-145292489;145291529-145291769
group1_GPR89A_ENSG00000117262.19_ENST00000313835.14_chr1_cds_start145608134_cds_end145670037_inv_start145160434_inv_end146154520.phy.gz	ENST00000313835.14	GPR89A	1	1	145608134	145670037	1365	145608134-145608175;145616234-145616293;145618320-145618423;145623054-145623160;145623613-145623714;145630687-145630807;145631664-145631744;145643869-145643978;145646184-145646272;145647175-145647267;145663329-145663424;145665562-145665651;145669625-145669690;145669834-145670037
group1_POLR3C_ENSG00000186141.10_ENST00000334163.4_chr1_cds_start145825777_cds_end145842417_inv_start145160434_inv_end146154520.phy.gz	ENST00000334163.4	POLR3C	1	1	145825777	145842417	1602	145825777-145825923;145826454-145826709;145826820-145827005;145828749-145828837;145833260-145833364;145833490-145833582;145836494-145836574;145836815-145836866;145837536-145837596;145838056-145838206;145839890-145839991;145840116-145840165;145840922-145841071;145842339-145842417
group1_NUDT17_ENSG00000186364.12_ENST00000334513.6_chr1_cds_start145845641_cds_end145848476_inv_start145160434_inv_end146154520.phy.gz	ENST00000334513.6	NUDT17	1	1	145845641	145848476	984	145845641-145845832;145846013-145846196;145846433-145846458;145846598-145846690;145847250-145847348;145847583-145847719;145848112-145848264;145848377-145848476
group1_HJV_ENSG00000168509.20_ENST00000336751.11_chr1_cds_start146018080_cds_end146020231_inv_start145160434_inv_end146154520.phy.gz	ENST00000336751.11	HJV	1	1	146018080	146020231	1278	146020135-146020231;146019175-146019734;146018080-146018700
group1_ANKRD35_ENSG00000198483.13_ENST00000355594.9_chr1_cds_start145867333_cds_end145885758_inv_start145160434_inv_end146154520.phy.gz	ENST00000355594.9	ANKRD35	1	1	145867333	145885758	3003	145885720-145885758;145879258-145879388;145878391-145878479;145877968-145878032;145876816-145876873;145876569-145876639;145876140-145876246;145874822-145875006;145874155-145874192;145871982-145873985;145868311-145868400;145867991-145868056;145867333-145867392
group1_CD160_ENSG00000117281.16_ENST00000369288.7_chr1_cds_start145728328_cds_end145738490_inv_start145160434_inv_end146154520.phy.gz	ENST00000369288.7	CD160	1	1	145728328	145738490	543	145728328-145728400;145730744-145731070;145735997-145736134;145738486-145738490
group1_ITGA10_ENSG00000143127.13_ENST00000369304.8_chr1_cds_start145892801_cds_end145910014_inv_start145160434_inv_end146154520.phy.gz	ENST00000369304.8	ITGA10	1	1	145892801	145910014	3501	145909963-145910014;145907354-145907465;145907041-145907150;145906733-145906824;145906394-145906508;145904684-145904811;145904052-145904200;145902811-145902961;145902454-145902619;145902246-145902319;145901877-145902021;145901516-145901664;145901135-145901278;145900790-145900993;145900057-145900187;145899175-145899341;145898936-145899078;145898110-145898223;145897815-145897900;145897512-145897653;145897247-145897339;145897011-145897087;145896769-145896858;145896268-145896352;145895983-145896096;145895631-145895711;145895280-145895393;145893540-145893635;145893161-145893274;145892801-145892863
group1_PEX11B_ENSG00000131779.11_ENST00000369306.8_chr1_cds_start145912164_cds_end145918688_inv_start145160434_inv_end146154520.phy.gz	ENST00000369306.8	PEX11B	1	1	145912164	145918688	777	145918633-145918688;145917701-145917816;145916817-145917018;145912164-145912566
group1_POLR3GL_ENSG00000121851.13_ENST00000369314.2_chr1_cds_start145974866_cds_end145978444_inv_start145160434_inv_end146154520.phy.gz	ENST00000369314.2	POLR3GL	1	1	145974866	145978444	654	145974866-145974991;145975307-145975436;145977084-145977152;145977483-145977539;145977778-145977851;145977983-145978096;145978361-145978444
group1_PIAS3_ENSG00000131788.16_ENST00000393045.7_chr1_cds_start145849449_cds_end145858990_inv_start145160434_inv_end146154520.phy.gz	ENST00000393045.7	PIAS3	1	1	145849449	145858990	1884	145858967-145858990;145856589-145857006;145856347-145856431;145856068-145856118;145855736-145855826;145854746-145854880;145854458-145854563;145853813-145853886;145853504-145853664;145851020-145851153;145850771-145850939;145850453-145850586;145850232-145850269;145849449-145849712
group1_PDZK1_ENSG00000174827.14_ENST00000417171.6_chr1_cds_start145671439_cds_end145688021_inv_start145160434_inv_end146154520.phy.gz	ENST00000417171.6	PDZK1	1	1	145671439	145688021	1557	145687812-145688021;145686477-145686726;145682500-145682636;145680912-145681107;145678449-145678645;145673657-145673881;145672730-145673020;145671439-145671489
group1_PPIAL4D_ENSG00000289549.1_ENST00000544708.3_chr1_cds_start145241633_cds_end145242124_inv_start145160434_inv_end146154520.phy.gz	ENST00000544708.3	PPIAL4D	1	1	145241633	145242124	492	145241633-145242124
group1_TXNIP_ENSG00000265972.6_ENST00000582401.6_chr1_cds_start145993854_cds_end145996266_inv_start145160434_inv_end146154520.phy.gz	ENST00000582401.6	TXNIP	1	1	145993854	145996266	1173	145996017-145996266;145995404-145995476;145995144-145995291;145994929-145995031;145994544-145994800;145994281-145994437;145994016-145994167;145993854-145993886
group1_RNF115_ENSG00000265491.5_ENST00000582693.5_chr1_cds_start145746869_cds_end145823873_inv_start145160434_inv_end146154520.phy.gz	ENST00000582693.5	RNF115	1	1	145746869	145823873	912	145823772-145823873;145788908-145788966;145784539-145784596;145771711-145771919;145752978-145753049;145751438-145751510;145750407-145750500;145747995-145748110;145746869-145746997
group1_RBM8A_ENSG00000265241.8_ENST00000583313.7_chr1_cds_start145925885_cds_end145927426_inv_start145160434_inv_end146154520.phy.gz	ENST00000583313.7	RBM8A	1	1	145925885	145927426	522	145927360-145927426;145927018-145927077;145926809-145926886;145926482-145926618;145926041-145926177;145925885-145925927
group1_NBPF10_ENSG00000271425.9_ENST00000583866.9_chr1_cds_start146066321_cds_end146144769_inv_start145160434_inv_end146154520.phy.gz	ENST00000583866.9	NBPF10	1	1	146066321	146144769	11385	146144595-146144769;146142650-146142752;146141604-146141818;146140484-146140556;146139809-146140020;146138236-146138445;146136353-146136455;146135307-146135521;146134193-146134265;146133523-146133728;146132186-146132237;146128119-146128282;146127028-146127079;146126236-146126408;146125465-146125516;146124688-146124860;146123927-146123978;146123106-146123278;146122283-146122391;146121498-146121670;146120725-146120776;146119956-146120128;146119195-146119246;146118370-146118542;146117547-146117655;146116772-146116944;146115999-146116050;146115230-146115402;146114469-146114520;146113652-146113824;146112829-146112937;146112054-146112226;146111281-146111332;146110512-146110684;146109751-146109802;146108942-146109114;146108119-146108227;146107344-146107516;146106573-146106624;146105804-146105976;146105043-146105094;146104224-146104396;146103401-146103509;146102626-146102798;146101855-146101906;146101086-146101258;146100325-146100376;146099502-146099674;146098679-146098787;146097904-146098076;146097133-146097184;146096364-146096536;146095603-146095654;146094780-146094952;146093957-146094065;146093182-146093354;146092411-146092462;146091642-146091814;146090881-146090932;146090062-146090234;146089239-146089347;146088464-146088636;146087693-146087744;146086924-146087096;146086164-146086215;146085341-146085513;146084518-146084626;146083737-146083909;146082966-146083017;146082197-146082369;146081436-146081487;146080605-146080777;146079782-146079890;146079007-146079179;146078236-146078287;146077467-146077639;146076706-146076757;146075869-146076041;146075046-146075154;146074271-146074443;146073500-146073551;146072729-146072901;146071968-146072019;146071147-146071319;146070324-146070432;146069543-146069715;146068772-146068823;146068003-146068175;146067180-146067288;146066321-146066561
group1_LIX1L_ENSG00000271601.4_ENST00000604000.4_chr1_cds_start145936313_cds_end145957927_inv_start145160434_inv_end146154520.phy.gz	ENST00000604000.4	LIX1L	1	1	145936313	145957927	1011	145957636-145957927;145947619-145947782;145942713-145942853;145937604-145937699;145936908-145936985;145936313-145936552
group1_ANKRD34A_ENSG00000272031.3_ENST00000606888.3_chr1_cds_start145960272_cds_end145961759_inv_start145160434_inv_end146154520.phy.gz	ENST00000606888.3	ANKRD34A	1	1	145960272	145961759	1488	145960272-145961759
group1_NBPF20_ENSG00000162825.18_ENST00000698833.1_chr1_cds_start145291529_cds_end145405272_inv_start145160434_inv_end146154520.phy.gz	ENST00000698833.1	NBPF20	1	1	145291529	145405272	16935	145405098-145405272;145403216-145403318;145402167-145402381;145401059-145401131;145400389-145400594;145399049-145399100;145394978-145395141;145393884-145393935;145393074-145393246;145392303-145392354;145391530-145391702;145390769-145390820;145389944-145390116;145389121-145389229;145388318-145388490;145387547-145387598;145386774-145386946;145386013-145386064;145385194-145385366;145384371-145384479;145383570-145383742;145382799-145382850;145382018-145382190;145381257-145381308;145380440-145380612;145379617-145379725;145378814-145378986;145378043-145378094;145377266-145377438;145376505-145376556;145375688-145375860;145374865-145374973;145374064-145374236;145373293-145373344;145372512-145372684;145371751-145371802;145370940-145371112;145370117-145370225;145369316-145369488;145368545-145368596;145367764-145367936;145367003-145367054;145366180-145366352;145365357-145365465;145364556-145364728;145363785-145363836;145363004-145363176;145362243-145362294;145361426-145361598;145360603-145360711;145359802-145359974;145359031-145359082;145358251-145358423;145357490-145357541;145356679-145356851;145355856-145355964;145355055-145355227;145354284-145354335;145353503-145353675;145352742-145352793;145351917-145352089;145351094-145351202;145350291-145350463;145349520-145349571;145348739-145348911;145347978-145348029;145347145-145347317;145346322-145346430;145345521-145345693;145344750-145344801;145343969-145344141;145343208-145343259;145342387-145342559;145341564-145341672;145340767-145340939;145339996-145340047;145339215-145339387;145338454-145338505;145337637-145337809;145336814-145336922;145336013-145336185;145335242-145335293;145334459-145334631;145333698-145333749;145332881-145333053;145332058-145332166;145331257-145331429;145330486-145330537;145329706-145329878;145328945-145328996;145328114-145328286;145327291-145327399;145326490-145326662;145325719-145325770;145324946-145325118;145324185-145324236;145323366-145323538;145322543-145322651;145321740-145321912;145320969-145321020;145320196-145320368;145319435-145319486;145318604-145318776;145317781-145317889;145316978-145317150;145316207-145316258;145315426-145315598;145314665-145314716;145313832-145314004;145313009-145313117;145312208-145312380;145311437-145311488;145310658-145310830;145309897-145309948;145309076-145309248;145308253-145308361;145307477-145307649;145306716-145306767;145305893-145306065;145305070-145305178;145304294-145304466;145303533-145303584;145302724-145302896;145301901-145302009;145301100-145301272;145300329-145300380;145299548-145299720;145298787-145298838;145297962-145298134;145297139-145297247;145296338-145296510;145295567-145295618;145294782-145294954;145294021-145294072;145293204-145293376;145292381-145292489;145291529-145291769
group0_BCL9_ENSG00000116128.12_ENST00000234739.8_chr1_cds_start147611837_cds_end147624956_inv_start146298109_inv_end148672872.phy.gz	ENST00000234739.8	BCL9	1	0	147611837	147624956	4278	147611837-147611889;147612883-147613199;147614427-147614616;147615803-147615902;147618816-147621057;147622271-147622531;147623842-147624956
group0_FMO5_ENSG00000131781.13_ENST00000254090.9_chr1_cds_start147186903_cds_end147225029_inv_start146298109_inv_end148672872.phy.gz	ENST00000254090.9	FMO5	1	0	147186903	147225029	1599	147224895-147225029;147215754-147215942;147213308-147213470;147212393-147212535;147208852-147209051;147201152-147201504;147190177-147190249;147186903-147187245
group0_PRKAB2_ENSG00000131791.8_ENST00000254101.4_chr1_cds_start147159568_cds_end147172144_inv_start146298109_inv_end148672872.phy.gz	ENST00000254101.4	PRKAB2	1	0	147159568	147172144	816	147171989-147172144;147167767-147167933;147166846-147166939;147166498-147166618;147162440-147162573;147161712-147161780;147159568-147159642
group0_GPR89B_ENSG00000188092.15_ENST00000314163.12_chr1_cds_start147928537_cds_end147992914_inv_start146298109_inv_end148672872.phy.gz	ENST00000314163.12	GPR89B	1	0	147928537	147992914	1365	147928537-147928578;147936627-147936686;147938714-147938817;147943438-147943544;147943997-147944098;147953345-147953465;147954322-147954402;147966554-147966663;147968875-147968963;147969867-147969959;147986199-147986294;147988432-147988521;147992502-147992567;147992711-147992914
group0_GJA8_ENSG00000121634.6_ENST00000369235.2_chr1_cds_start147907956_cds_end147909254_inv_start146298109_inv_end148672872.phy.gz	ENST00000369235.2	GJA8	1	0	147907956	147909254	1299	147907956-147909254
group0_CHD1L_ENSG00000131778.20_ENST00000369258.8_chr1_cds_start147242704_cds_end147295506_inv_start146298109_inv_end148672872.phy.gz	ENST00000369258.8	CHD1L	1	0	147242704	147295506	2691	147242704-147242830;147252623-147252735;147254870-147254976;147255813-147255927;147256531-147256562;147259837-147259918;147264422-147264584;147265932-147266087;147267426-147267518;147268782-147268878;147270932-147271005;147272171-147272281;147275354-147275468;147276104-147276257;147280026-147280191;147284351-147284499;147285324-147285487;147286298-147286500;147287635-147287733;147291482-147291552;147293608-147293722;147294409-147294517;147295431-147295506
group0_PPIAL4G_ENSG00000236334.3_ENST00000419275.3_chr1_cds_start148482761_cds_end148483252_inv_start146298109_inv_end148672872.phy.gz	ENST00000419275.3	PPIAL4G	1	0	148482761	148483252	492	148482761-148483252
group0_GJA5_ENSG00000265107.3_ENST00000579774.3_chr1_cds_start147758165_cds_end147759238_inv_start146298109_inv_end148672872.phy.gz	ENST00000579774.3	GJA5	1	0	147758165	147759238	1074	147758165-147759238
