Phenotype	Q_GLOBAL	P_Value_x	P_Value_y	N_Total	N_Cases	N_Controls	Beta	OR	P_Valid	P_Source_x	OR_CI95	CI_Method	CI_Sided	CI_Valid	CI_LO_OR	CI_HI_OR	Used_Ridge	Final_Is_MLE	Used_Firth	Inference_Type	N_Total_Used	N_Cases_Used	N_Controls_Used	Model_Notes	Inversion	P_LRT_Overall	P_Overall_Valid	P_Source_y	P_Method	Sig_Global	CI_Valid_DISPLAY	CI_Method_DISPLAY	OR_CI95_DISPLAY	CI_LO_OR_DISPLAY	CI_HI_OR_DISPLAY
Hypertrophic_conditions_of_skin	0.008126663009	1.00E-04	1.00E-04	251055	20594	230461	-0.05353812387	0.9478698038	TRUE	lrt_mle	0.923,0.974	wald_mle	two	TRUE	0.9225462553	0.9738884744	FALSE	TRUE	FALSE	mle	251055	20594	230461	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	1.00E-04	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.923,0.974	0.9225462553	0.9738884744
Nonspecific_reaction_to_test_for_tuberculosis	0.008379205628	0.0001124725588	0.0001124725588	188492	5919	182573	-0.1143853395	0.8919141999	TRUE	lrt_mle	0.841,0.946	wald_mle	two	TRUE	0.8410668822	0.9458355297	FALSE	TRUE	FALSE	mle	188492	5919	182573	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.0001124725588	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.841,0.946	0.8410668822	0.9458355297
Aphagia_and_dysphagia	0.009046508802	0.0001315487857	0.0001315487857	222995	26396	196599	-0.04875699005	0.9524125473	TRUE	lrt_mle	0.929,0.977	wald_mle	two	TRUE	0.9288283014	0.9765956301	FALSE	TRUE	FALSE	mle	222995	26396	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.0001315487857	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.929,0.977	0.9288283014	0.9765956301
Sebaceous_cyst_Epidermal_cyst	0.01368826147	0.0002199519457	0.0002199519457	248808	18347	230461	-0.05357148024	0.9478381869	TRUE	lrt_mle	0.921,0.975	wald_mle	two	TRUE	0.9211767574	0.9752712727	FALSE	TRUE	FALSE	mle	248808	18347	230461	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.0002199519457	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.921,0.975	0.9211767574	0.9752712727
Skin_changes_due_to_chronic_exposure_to_nonionizing_radiation	0.01368826147	0.0002360765853	0.0002360765853	256692	26231	230461	-0.0454065578	0.9556088926	TRUE	lrt_mle	0.933,0.979	wald_mle	two	TRUE	0.9327027862	0.9790775466	FALSE	TRUE	FALSE	mle	256692	26231	230461	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.0002360765853	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.933,0.979	0.9327027862	0.9790775466
Diverticular_disease_Bowel_diverticulosis	0.01368826147	0.000256578128	0.000256578128	234831	38232	196599	-0.04131289337	0.9595288528	TRUE	lrt_mle	0.938,0.981	wald_mle	two	TRUE	0.9384693326	0.9810609546	FALSE	TRUE	FALSE	mle	234831	38232	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.000256578128	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.938,0.981	0.9384693326	0.9810609546
Cancer_solid_tumor_excluding_BCC	0.01368826147	0.0002602913256	0.0002602913256	295795	39028	256767	-0.03932078194	0.9614422464	TRUE	lrt_mle	0.941,0.982	wald_mle	two	TRUE	0.9413224556	0.9819920768	FALSE	TRUE	FALSE	mle	295795	39028	256767	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.0002602913256	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.941,0.982	0.9413224556	0.9819920768
Diverticula_of_colon	0.01418265513	0.0002958577537	0.0002958577537	232095	35496	196599	-0.04212641485	0.9587485729	TRUE	lrt_mle	0.937,0.981	wald_mle	two	TRUE	0.937079164	0.9809190742	FALSE	TRUE	FALSE	mle	232095	35496	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.0002958577537	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.937,0.981	0.937079164	0.9809190742
Pain_in_shoulder	0.01418265513	0.0003014210822	0.0003014210822	249527	61678	187849	-0.03383813702	0.9667279694	TRUE	lrt_mle	0.949,0.985	wald_mle	two	TRUE	0.949126808	0.9846555371	FALSE	TRUE	FALSE	mle	249527	61678	187849	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.0003014210822	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.949,0.985	0.949126808	0.9846555371
Mild_cognitive_impairment	0.01657595825	0.0003708268065	0.0003708268065	218786	4601	214185	-0.1020358482	0.9029971803	TRUE	lrt_mle	0.853,0.956	wald_mle	two	TRUE	0.8532389903	0.95565711	FALSE	TRUE	FALSE	mle	218786	4601	214185	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.0003708268065	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.853,0.956	0.8532389903	0.95565711
Other_follicular_disorders	0.0172140355	0.0004305099076	0.0004305099076	273840	43379	230461	-0.03516146175	0.9654495205	TRUE	lrt_mle	0.947,0.985	wald_mle	two	TRUE	0.9466948256	0.9845757592	FALSE	TRUE	FALSE	mle	273840	43379	230461	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.0004305099076	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.947,0.985	0.9466948256	0.9845757592
Cutaneous_cyst	0.0172140355	0.0004347156362	0.0004347156362	249266	18805	230461	-0.05037249004	0.950875167	TRUE	lrt_mle	0.924,0.978	wald_mle	two	TRUE	0.9244633899	0.9780415245	FALSE	TRUE	FALSE	mle	249266	18805	230461	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.0004347156362	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.924,0.978	0.9244633899	0.9780415245
Other_diseases_of_stomach_and_duodenum	0.0172140355	0.0004489090112	0.0004489090112	213944	17345	196599	-0.05403096578	0.947402769	TRUE	lrt_mle	0.919,0.977	wald_mle	two	TRUE	0.9191246957	0.9765508542	FALSE	TRUE	FALSE	mle	213944	17345	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.0004489090112	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.919,0.977	0.9191246957	0.9765508542
Malignant_neoplasm_of_the_breast	0.0172140355	0.0004621217583	0.0004621217583	266846	10079	256767	-0.06977963798	0.9325993067	TRUE	lrt_mle	0.897,0.970	wald_mle	two	TRUE	0.8966983804	0.9699375909	FALSE	TRUE	FALSE	mle	266846	10079	256767	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.0004621217583	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.897,0.970	0.8966983804	0.9699375909
Obesity	0.01918302242	0.0005550206359	0.0005550206359	272677	80186	192491	0.0287915519	1.029210035	TRUE	lrt_mle	1.013,1.046	wald_mle	two	TRUE	1.012541214	1.046153264	FALSE	TRUE	FALSE	mle	272677	80186	192491	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.0005550206359	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	1.013,1.046	1.012541214	1.046153264
Overweight_and_obesity	0.01918302242	0.0005578955065	0.0005578955065	273139	80648	192491	0.02872039133	1.029136799	TRUE	lrt_mle	1.013,1.046	wald_mle	two	TRUE	1.0125032	1.046043657	FALSE	TRUE	FALSE	mle	273139	80648	192491	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.0005578955065	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	1.013,1.046	1.0125032	1.046043657
Malignant_neoplasm_of_the_breast_female	0.02112828548	0.0006381025816	0.0006381025816	266006	9239	256767	-0.07111905919	0.9313509996	TRUE	lrt_mle	0.894,0.970	wald_mle	two	TRUE	0.8939062686	0.9703642485	FALSE	TRUE	FALSE	mle	157442	9170	148272	sex_restricted_to_0;sex_majority_restricted_to_0;ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.0006381025816	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.894,0.970	0.8939062686	0.9703642485
Benign_mammary_dysplasias	0.02425457237	0.0007596510362	0.0007596510362	236503	15388	221115	-0.05587283694	0.9456593812	TRUE	lrt_mle	0.915,0.977	wald_mle	two	TRUE	0.9152817882	0.9770451862	FALSE	TRUE	FALSE	mle	140555	15297	125258	sex_restricted_to_0;sex_majority_restricted_to_0;ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.0007596510362	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.915,0.977	0.9152817882	0.9770451862
Alcohol_use_disorders	0.02484143187	0.0008058182597	0.0008058182597	260141	21056	239085	-0.04912117855	0.9520657528	TRUE	lrt_mle	0.925,0.980	wald_mle	two	TRUE	0.9249940578	0.979929752	FALSE	TRUE	FALSE	mle	260141	21056	239085	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.0008058182597	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.925,0.980	0.9249940578	0.979929752
Diastolic_heart_failure	0.02634191768	0.000883956969	0.000883956969	220412	10580	209832	0.06656028822	1.0688254	TRUE	lrt_mle	1.028,1.111	wald_mle	two	TRUE	1.027889764	1.111391294	FALSE	TRUE	FALSE	mle	220412	10580	209832	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.000883956969	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	1.028,1.111	1.027889764	1.111391294
Diffuse_diseases_of_connective_tissue	0.03165487529	0.001097652275	0.001097652275	199137	11288	187849	-0.06207545057	0.9398119748	TRUE	lrt_mle	0.905,0.976	wald_mle	two	TRUE	0.9052561451	0.9756868845	FALSE	TRUE	FALSE	mle	199137	11288	187849	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.001097652275	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.905,0.976	0.9052561451	0.9756868845
Vitreous_degeneration	0.03344210024	0.001197032671	0.001197032671	271989	14301	257688	-0.05407743182	0.947358748	TRUE	lrt_mle	0.917,0.979	wald_mle	two	TRUE	0.9167501835	0.9789892748	FALSE	TRUE	FALSE	mle	271989	14301	257688	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.001197032671	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.917,0.979	0.9167501835	0.9789892748
Other_skin_and_subcutaneous_disorders	0.04287707123	0.001582710683	0.001582710683	270391	39930	230461	-0.03281687625	0.9677157551	TRUE	lrt_mle	0.948,0.988	wald_mle	two	TRUE	0.9481753853	0.9876588205	FALSE	TRUE	FALSE	mle	270391	39930	230461	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.001582710683	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.948,0.988	0.9481753853	0.9876588205
Heartburn	0.0431737405	0.001641954337	0.001641954337	207382	10783	196599	-0.05986556655	0.9418911468	TRUE	lrt_mle	0.907,0.978	wald_mle	two	TRUE	0.9072625982	0.9778414035	FALSE	TRUE	FALSE	mle	207382	10783	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.001641954337	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.907,0.978	0.9072625982	0.9778414035
Nonspecific_abnormal_findings_on_radiological_and_other_examination_of_musculoskeletal_system	0.04503851156	0.00176325269	0.00176325269	194930	7081	187849	-0.0740911872	0.9285870147	TRUE	lrt_mle	0.886,0.973	wald_mle	two	TRUE	0.8861931374	0.9730089385	FALSE	TRUE	FALSE	mle	194930	7081	187849	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.00176325269	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.886,0.973	0.8861931374	0.9730089385
Goiter	0.04744747572	0.001910636606	0.001910636606	214573	22082	192491	-0.04392093599	0.9570296211	TRUE	lrt_mle	0.931,0.984	wald_mle	two	TRUE	0.9307765314	0.9840231943	FALSE	TRUE	FALSE	mle	214573	22082	192491	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.001910636606	TRUE	lrt_mle	lrt_mle	TRUE	TRUE	wald_mle	0.931,0.984	0.9307765314	0.9840231943
Pain_in_joint	0.05014895862	0.002075516184	0.002075516184	316020	128171	187849	-0.02246358275	0.9777868449	TRUE	lrt_mle	0.964,0.992	wald_mle	two	TRUE	0.9639015144	0.9918721982	FALSE	TRUE	FALSE	mle	316020	128171	187849	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.002075516184	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	wald_mle	0.964,0.992	0.9639015144	0.9918721982
Other_abnormal_immunological_findings_in_serum	0.05148476888	0.002199517767	0.002199517767	190091	7518	182573	-0.07718407239	0.9257194385	TRUE	lrt_mle	0.881,0.973	wald_mle	two	TRUE	0.8807806069	0.972951121	FALSE	TRUE	FALSE	mle	190091	7518	182573	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.002199517767	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	wald_mle	0.881,0.973	0.8807806069	0.972951121
Mammographic_microcalcification	0.05148476888	0.002262936674	0.002262936674	260305	3538	256767	-0.1013322564	0.9036327452	TRUE	lrt_mle	0.846,0.965	wald_mle	two	TRUE	0.8462266577	0.9649331308	FALSE	TRUE	FALSE	mle	151807	3535	148272	sex_restricted_to_0;sex_majority_restricted_to_0;ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.002262936674	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	wald_mle	0.846,0.965	0.8462266577	0.9649331308
Multinodular_goiter	0.05148476888	0.002303569077	0.002303569077	202482	9991	192491	-0.06165100563	0.9402109579	TRUE	lrt_mle	0.903,0.978	wald_mle	two	TRUE	0.9034948557	0.9784191241	FALSE	TRUE	FALSE	mle	202482	9991	192491	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.002303569077	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	wald_mle	0.903,0.978	0.9034948557	0.9784191241
Acute_skin_changes_due_to_ultraviolet_radiation	0.05491294736	0.002518379018	0.002518379018	235717	5256	230461	-0.07592787846	0.9268830524	TRUE	lrt_mle	0.882,0.974	wald_mle	two	TRUE	0.8820406005	0.9740052695	FALSE	TRUE	FALSE	mle	235717	5256	230461	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.002518379018	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	wald_mle	0.882,0.974	0.8820406005	0.9740052695
Lesions_of_mouth	0.05605678773	0.002745138697	0.002745138697	207937	11338	196599	-0.0552409327	0.9462571362	TRUE	lrt_mle	0.913,0.981	wald_mle	two	TRUE	0.9125052942	0.9812573949	FALSE	TRUE	FALSE	mle	207937	11338	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.002745138697	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	wald_mle	0.913,0.981	0.9125052942	0.9812573949
Alcohol_abuse_and_dependence	0.05605678773	0.002772852267	0.002772852267	258076	18991	239085	-0.04604110005	0.9550027107	TRUE	lrt_mle	0.927,0.984	wald_mle	two	TRUE	0.9265226832	0.9843581749	FALSE	TRUE	FALSE	mle	258076	18991	239085	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.002772852267	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	wald_mle	0.927,0.984	0.9265226832	0.9843581749
Disorders_of_lipoprotein_metabolism_and_other_lipidemias	0.05605678773	0.002792839252	0.002792839252	199787	7296	192491	-0.06701604376	0.9351801974	TRUE	lrt_mle	0.895,0.977	wald_mle	two	TRUE	0.8947709049	0.9774144386	FALSE	TRUE	FALSE	mle	199787	7296	192491	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.002792839252	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	wald_mle	0.895,0.977	0.8947709049	0.9774144386
Cervicalgia	0.05605678773	0.002823793034	0.002823793034	238872	51023	187849	-0.02960530028	0.9708286437	TRUE	lrt_mle	0.952,0.990	wald_mle	two	TRUE	0.9521210031	0.9899038593	FALSE	TRUE	FALSE	mle	238872	51023	187849	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.002823793034	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	wald_mle	0.952,0.990	0.9521210031	0.9899038593
Voice_disturbance	0.05605678773	0.002914344514	0.002914344514	220367	10735	209632	-0.05634216943	0.9452156567	TRUE	lrt_mle	0.911,0.981	wald_mle	two	TRUE	0.910636444	0.9811079311	FALSE	TRUE	FALSE	mle	220367	10735	209632	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.002914344514	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	wald_mle	0.911,0.981	0.910636444	0.9811079311
Hepatitis	0.05605678773	0.002984589177	0.002984589177	209298	12699	196599	-0.05474189426	0.9467294727	TRUE	lrt_mle	0.913,0.982	wald_mle	two	TRUE	0.9129774241	0.9817293078	FALSE	TRUE	FALSE	mle	209298	12699	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.002984589177	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	wald_mle	0.913,0.982	0.9129774241	0.9817293078
Pain_in_knee	0.05605678773	0.003009760415	0.003009760415	258852	71003	187849	-0.02647007912	0.9738771827	TRUE	lrt_mle	0.957,0.991	wald_mle	two	TRUE	0.9569795404	0.9910731911	FALSE	TRUE	FALSE	mle	258852	71003	187849	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.003009760415	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	wald_mle	0.957,0.991	0.9569795404	0.9910731911
Mental_disorder_not_otherwise_specified	0.05872123962	0.003218501948	0.003218501948	250631	11546	239085	-0.05419522736	0.9472471599	TRUE	lrt_mle	0.914,0.982	wald_mle	two	TRUE	0.9135447461	0.9821929202	FALSE	TRUE	FALSE	mle	250631	11546	239085	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.003218501948	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	wald_mle	0.914,0.982	0.9135447461	0.9821929202
Myopia	0.06105968569	0.003414971235	0.003414971235	279691	22003	257688	-0.03932282637	0.9614402808	TRUE	lrt_mle	0.936,0.987	wald_mle	two	TRUE	0.936385244	0.9871657198	FALSE	TRUE	FALSE	mle	279691	22003	257688	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.003414971235	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	wald_mle	0.936,0.987	0.936385244	0.9871657198
Cystic_mastopathy	0.0622683052	0.003552218753	0.003552218753	234129	13014	221115	-0.05181818791	0.949501482	TRUE	lrt_mle	0.917,0.983	wald_mle	two	TRUE	0.9168729478	0.9832911599	FALSE	TRUE	FALSE	mle	138210	12952	125258	sex_restricted_to_0;sex_majority_restricted_to_0;ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.003552218753	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	wald_mle	0.917,0.983	0.9168729478	0.9832911599
Gastro_esophageal_reflux_disease_GERD	0.06327242219	0.003680275116	0.003680275116	280436	83837	196599	-0.0236909435	0.9765874838	TRUE	lrt_mle	0.961,0.992	wald_mle	two	TRUE	0.9610867487	0.9923382201	FALSE	TRUE	FALSE	mle	280436	83837	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.003680275116	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	wald_mle	0.961,0.992	0.9610867487	0.9923382201
Benign_neoplasm_of_the_breast	0.06692064665	0.003967331401	0.003967331401	261040	4273	256767	-0.08859579746	0.9152154312	TRUE	lrt_mle	0.861,0.973	wald_mle	two	TRUE	0.861257075	0.9725543161	FALSE	TRUE	FALSE	mle	152509	4237	148272	sex_restricted_to_0;sex_majority_restricted_to_0;ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=wald_mle	chr17-45974480-INV-29218	0.003967331401	TRUE	lrt_mle	lrt_mle	FALSE	TRUE	wald_mle	0.861,0.973	0.861257075	0.9725543161
