region	gene	status	overall_p_value	overall_q_value	overall_lrt_stat	overall_h1_lnl	overall_h0_lnl	h1_winner_seed	h0_winner_seed	winner_p0	winner_p1	winner_p2	winner_omega0	winner_omega2_direct	winner_omega2_inverted	winner_kappa	chimp_in_pruned_run_1	chimp_in_pruned_run_2	chimp_in_region_run_1	chimp_in_region_run_2	h0_s1_def_init_kappa_run_2	h0_s1_def_init_omega_run_2	h0_s1_def_key_run_2	h0_s1_def_lnl_run_2	h0_s1_def_status_run_2	h0_s2_pur_init_kappa_run_2	h0_s2_pur_init_omega_run_2	h0_s2_pur_key_run_2	h0_s2_pur_lnl_run_2	h0_s2_pur_status_run_2	h0_s3_pos_init_kappa_run_2	h0_s3_pos_init_omega_run_2	h0_s3_pos_key_run_2	h0_s3_pos_lnl_run_2	h0_s3_pos_status_run_2	h0_s4_mix_init_kappa_run_2	h0_s4_mix_init_omega_run_2	h0_s4_mix_key_run_2	h0_s4_mix_lnl_run_2	h0_s4_mix_status_run_2	h1_s1_def_cmc_kappa_run_2	h1_s1_def_cmc_omega0_run_2	h1_s1_def_cmc_omega2_direct_run_2	h1_s1_def_cmc_omega2_inverted_run_2	h1_s1_def_cmc_p0_run_2	h1_s1_def_cmc_p1_run_2	h1_s1_def_cmc_p2_run_2	h1_s1_def_init_kappa_run_2	h1_s1_def_init_omega_run_2	h1_s1_def_key_run_2	h1_s1_def_lnl_run_2	h1_s1_def_status_run_2	h1_s2_pur_cmc_kappa_run_2	h1_s2_pur_cmc_omega0_run_2	h1_s2_pur_cmc_omega2_direct_run_2	h1_s2_pur_cmc_omega2_inverted_run_2	h1_s2_pur_cmc_p0_run_2	h1_s2_pur_cmc_p1_run_2	h1_s2_pur_cmc_p2_run_2	h1_s2_pur_init_kappa_run_2	h1_s2_pur_init_omega_run_2	h1_s2_pur_key_run_2	h1_s2_pur_lnl_run_2	h1_s2_pur_status_run_2	h1_s3_pos_cmc_kappa_run_2	h1_s3_pos_cmc_omega0_run_2	h1_s3_pos_cmc_omega2_direct_run_2	h1_s3_pos_cmc_omega2_inverted_run_2	h1_s3_pos_cmc_p0_run_2	h1_s3_pos_cmc_p1_run_2	h1_s3_pos_cmc_p2_run_2	h1_s3_pos_init_kappa_run_2	h1_s3_pos_init_omega_run_2	h1_s3_pos_key_run_2	h1_s3_pos_lnl_run_2	h1_s3_pos_status_run_2	h1_s4_mix_cmc_kappa_run_2	h1_s4_mix_cmc_omega0_run_2	h1_s4_mix_cmc_omega2_direct_run_2	h1_s4_mix_cmc_omega2_inverted_run_2	h1_s4_mix_cmc_p0_run_2	h1_s4_mix_cmc_p1_run_2	h1_s4_mix_cmc_p2_run_2	h1_s4_mix_init_kappa_run_2	h1_s4_mix_init_omega_run_2	h1_s4_mix_key_run_2	h1_s4_mix_lnl_run_2	h1_s4_mix_status_run_2	n_leaves_gene_run_1	n_leaves_gene_run_2	n_leaves_pruned_run_1	n_leaves_pruned_run_2	n_leaves_region_run_1	n_leaves_region_run_2	reason_run_1	reason_run_2	status_run_1	status_run_2	taxa_used_run_1	taxa_used_run_2
chr17_3082008_3221835	OR1A1_ENST00000641732.2	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr2_87987171_111255403	CD8B2_ENST00000643224.2	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr8_7301024_12598379	DEFB108C_ENST00000400154.2	Usable: complete data	1	1	0	-376.052	-376.052	s1_def_run_2	s4_mix_run_2	0	0	1	0	0	0.0001	3.33176		True		True	2	0.4	93edcb609bbd14c2452a6fdfec4ce329daa3d0a127016bcd0b1ec37f596c0d1f	-376.061	success	1	0.05	26f81fb87b88a2ef48f4e24029358d4305413e192a4f4d4f1724125a0f60222a	-376.06	success	3	2.5	b5f5a7cb2e21484ef872775215c5277d204960645f5fe1a69670347ace9f621d	-376.06	success	5	0.8	8a87e27887dff61cc785d3f38d5bb986f67707cdcc61d039be5e01efa15bd2eb	-376.052	success	3.33176	0	0	0.0001	0	0	1	2	0.4	df5c14bf8a873619093b73506575b732cc49d73e5ca6b3db083bace5a1e42b4b	-376.052	success	3.27557	1	0	0.0001	1	0	0	1	0.05	c756f27ce7af3e14aa4f1f3154d3bd6d2901b765efc47ed83a6b8600ed82d7f5	-376.06	success	3.27557	1	3.14987	0.00423	0	1	0	3	2.5	032893fe3fbc2e90a4d052a34028c43e3ce6b856fd0950d9f72a41fa3e0ba8d2	-376.06	success	3.33176	1	0	0.0001	0	1e-05	0.99999	5	0.8	549d39f0f60bd5663905b0595badf3aaf446ee4337c3a3bb4a370d9028f678e5	-376.052	success		83		83		83	One or more requested LRTs failed to produce a valid result.		success	success		0AFR_ACB_HG02011_L;0AFR_MSL_HG03065_R;0AFR_ESN_HG03371_L;0AFR_GWD_HG02818_R;0AFR_GWD_HG02587_L;0AFR_ESN_HG03125_L;0AFR_MSL_HG03065_L;0AFR_GWD_HG02587_R;0AMR_CLM_HG01114_L;0EAS_CDX_HG00864_L;0AMR_PEL_HG02106_L;0SAS_GIH_NA20847_L;0SAS_STU_HG03683_R;1EAS_CHS_HG00513_R;0AMR_PEL_HG01573_L;0AMR_PEL_HG02106_R;0EUR_TSI_NA20509_L;0SAS_STU_HG03683_L;0EAS_CDX_HG00864_R;0EAS_CHB_NA18534_L;0EAS_CHS_HG00512_R;0EAS_CHS_HG00512_L;0EUR_CEU_NA12329_R;0EAS_KHV_HG02059_R;1EUR_GBR_HG00096_L;0EAS_JPT_NA18939_L;0SAS_PJL_HG02492_L;0EAS_KHV_HG01596_L;0SAS_GIH_NA20847_R;0AMR_PUR_HG00732_R;0EUR_IBS_HG01505_L;0EAS_KHV_HG02059_L;0SAS_ITU_HG04217_L;0EAS_CHS_HG00513_L;0EUR_AKJ_NA24385_R;0EAS_CHB_NA18534_R;0EAS_KHV_HG02018_L;1AMR_CLM_HG01352_R;0EAS_KHV_HG01596_R;0EAS_KHV_HG02018_R;1EAS_JPT_NA18939_R;1AFR_MSL_HG03486_L;1AFR_YRI_NA19238_R;1AFR_MSL_HG03486_R;1AFR_LWK_NA19434_R;1AFR_YRI_NA19238_L;0AFR_LWK_NA19036_L;1AFR_ESN_HG03371_R;1AFR_ESN_HG03125_R;1AFR_YRI_NA19239_R;1AFR_LWK_NA19434_L;1AFR_ACB_HG02011_R;1AFR_YRI_NA19239_L;1AFR_GWD_HG02818_L;1AFR_ASW_NA19983_L;1AFR_LWK_NA19036_R;0AMR_CLM_HG01352_L;1SAS_ITU_HG03732_R;1SAS_ITU_HG03732_L;0EUR_GBR_HG00096_R;1EUR_CEU_NA12878_R;1EUR_FIN_HG00171_R;1AMR_CLM_HG01114_R;1AMR_PEL_HG01573_R;1EUR_AKJ_NA24385_L;1EUR_FIN_HG00268_L;1AMR_PUR_HG00732_L;1AMR_MXL_NA19650_L;1AMR_PUR_HG00731_L;1EUR_FIN_HG00268_R;1AMR_MXL_NA19650_R;1EUR_CEU_NA12878_L;1EUR_TSI_NA20509_R;1AMR_PUR_HG00731_R;0EUR_IBS_HG01505_R;1EUR_FIN_HG00171_L;1SAS_BEB_HG03009_L;1EUR_CEU_NA12329_L;1AFR_ASW_NA19983_R;1SAS_ITU_HG04217_R;1SAS_BEB_HG03009_R;1SAS_PJL_HG02492_R;PanTro6
chr7_73113989_74799029	GTF2IRD1_ENST00000424337.7	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr2_87987171_111255403	NPAS2_ENST00000335681.10	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr16_15384482_16276146	BMERB1_ENST00000300006.9	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr2_87995841_88180536	SMYD1_ENST00000419482.7	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr2_87987171_111255403	SMYD1_ENST00000419482.7	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr8_7301024_12598379	FAM90A18_ENST00000647769.1	Usable: complete data	1	1	0	-2025.03	-2025.03	s1_def_run_2	s1_def_run_2	0.61891	0	0.38109	0	0	0.0001	3.71975	True	True	True	True	2	0.4	18d62c13c950a457c72893b780b761ed1e820a1ec63495e8eb70665adb24b1dd	-2025.03	success	1	0.05	a8e1e3a703b459a685de34e695bf50f0268a4c16fa8ed1d9a901615ad3ff60b0	-2025.03	success	3	2.5	dd081f62481948d1e5c58603899438f38d6c262f36b23f6116b7a414786ec3e6	-2026.17	success	5	0.8	f481f7d016902a0170ac73bde3afb7b5fb14459039fb1396a32e79352e8e07a4	-2026.17	success	3.71975	0	0	0.0001	0.61891	0	0.38109	2	0.4	31818e4d862e9edb39ab711c3337b840720b37a67a9f32644372b12c99c9558e	-2025.03	success	3.71974	0	0	0.0001	0.61891	0	0.38109	1	0.05	02ced18281c9e0452df60b05200b4bc1329d4a931fdff72d2aa2495b7e0e9b38	-2025.03	success	3.47479	1	130.806	104.819	1	0	0	3	2.5	0035d501252b0df421a2484cc52e249bf38f66879a9e184f4a10c88bc0040b73	-2026.17	success	3.71974	0	0	0.0001	0.61891	0	0.38109	5	0.8	88421150d64253cdab30ddfd11f5067ec724c7181d1322f7f0cc86f56c9e4a11	-2025.03	success	83	83	83	83	83	83			success	success	0AFR_ACB_HG02011_L;0AFR_MSL_HG03065_R;0AFR_ESN_HG03371_L;0AFR_GWD_HG02818_R;0AFR_GWD_HG02587_L;0AFR_ESN_HG03125_L;0AFR_MSL_HG03065_L;0AFR_LWK_NA19036_L;1AFR_ESN_HG03371_R;1AFR_ESN_HG03125_R;1AFR_YRI_NA19239_R;1AFR_LWK_NA19434_L;1AFR_ACB_HG02011_R;1AFR_YRI_NA19239_L;1AFR_GWD_HG02818_L;1AFR_ASW_NA19983_L;1AFR_LWK_NA19036_R;0AMR_CLM_HG01352_L;1SAS_ITU_HG03732_R;1SAS_ITU_HG03732_L;0EUR_GBR_HG00096_R;1EUR_CEU_NA12878_R;1EUR_FIN_HG00171_R;1AMR_CLM_HG01114_R;1AMR_PEL_HG01573_R;1EUR_AKJ_NA24385_L;1EUR_FIN_HG00268_L;1AMR_PUR_HG00732_L;1AMR_MXL_NA19650_L;1AMR_PUR_HG00731_L;1EUR_FIN_HG00268_R;1AMR_MXL_NA19650_R;1EUR_CEU_NA12878_L;1EUR_TSI_NA20509_R;1AMR_PUR_HG00731_R;0EUR_IBS_HG01505_R;1EUR_FIN_HG00171_L;1SAS_BEB_HG03009_L;1EUR_CEU_NA12329_L;1AFR_ASW_NA19983_R;1SAS_ITU_HG04217_R;1SAS_BEB_HG03009_R;1SAS_PJL_HG02492_R;1AFR_LWK_NA19434_R;1AFR_YRI_NA19238_L;1AFR_MSL_HG03486_L;1AFR_YRI_NA19238_R;1AFR_MSL_HG03486_R;0AFR_GWD_HG02587_R;1EAS_JPT_NA18939_R;0AMR_CLM_HG01114_L;0EAS_CDX_HG00864_L;0AMR_PEL_HG02106_L;0SAS_GIH_NA20847_L;0SAS_STU_HG03683_R;1EAS_CHS_HG00513_R;0AMR_PEL_HG01573_L;0AMR_PEL_HG02106_R;0EUR_TSI_NA20509_L;0SAS_STU_HG03683_L;0EAS_CDX_HG00864_R;0EAS_CHB_NA18534_L;0EAS_CHS_HG00512_R;0EAS_CHS_HG00512_L;0EUR_CEU_NA12329_R;0EAS_KHV_HG02059_R;1EUR_GBR_HG00096_L;0EAS_JPT_NA18939_L;0SAS_PJL_HG02492_L;0EAS_KHV_HG01596_L;0SAS_GIH_NA20847_R;0EAS_CHB_NA18534_R;0EAS_KHV_HG02018_L;1AMR_CLM_HG01352_R;0EAS_KHV_HG01596_R;0EAS_KHV_HG02018_R;0AMR_PUR_HG00732_R;0EUR_IBS_HG01505_L;0EAS_KHV_HG02059_L;0SAS_ITU_HG04217_L;0EAS_CHS_HG00513_L;0EUR_AKJ_NA24385_R;PanTro6	0AFR_ACB_HG02011_L;0AFR_MSL_HG03065_R;0AFR_ESN_HG03371_L;0AFR_GWD_HG02818_R;0AFR_GWD_HG02587_L;0AFR_ESN_HG03125_L;0AFR_MSL_HG03065_L;0AFR_GWD_HG02587_R;0AMR_CLM_HG01114_L;0EAS_CDX_HG00864_L;0AMR_PEL_HG02106_L;0SAS_GIH_NA20847_L;0SAS_STU_HG03683_R;1EAS_CHS_HG00513_R;0AMR_PEL_HG01573_L;0AMR_PEL_HG02106_R;0EUR_TSI_NA20509_L;0SAS_STU_HG03683_L;0EAS_CDX_HG00864_R;0EAS_CHB_NA18534_L;0EAS_CHS_HG00512_R;0EAS_CHS_HG00512_L;0EUR_CEU_NA12329_R;0EAS_KHV_HG02059_R;1EUR_GBR_HG00096_L;0EAS_JPT_NA18939_L;0SAS_PJL_HG02492_L;0EAS_KHV_HG01596_L;0SAS_GIH_NA20847_R;0AMR_PUR_HG00732_R;0EUR_IBS_HG01505_L;0EAS_KHV_HG02059_L;0SAS_ITU_HG04217_L;0EAS_CHS_HG00513_L;0EUR_AKJ_NA24385_R;0EAS_CHB_NA18534_R;0EAS_KHV_HG02018_L;1AMR_CLM_HG01352_R;0EAS_KHV_HG01596_R;0EAS_KHV_HG02018_R;1EAS_JPT_NA18939_R;1AFR_MSL_HG03486_L;1AFR_YRI_NA19238_R;1AFR_MSL_HG03486_R;1AFR_LWK_NA19434_R;1AFR_YRI_NA19238_L;0AFR_LWK_NA19036_L;1AFR_ESN_HG03371_R;1AFR_ESN_HG03125_R;1AFR_YRI_NA19239_R;1AFR_LWK_NA19434_L;1AFR_ACB_HG02011_R;1AFR_YRI_NA19239_L;1AFR_GWD_HG02818_L;1AFR_ASW_NA19983_L;1AFR_LWK_NA19036_R;0AMR_CLM_HG01352_L;1SAS_ITU_HG03732_R;1SAS_ITU_HG03732_L;0EUR_GBR_HG00096_R;1EUR_CEU_NA12878_R;1EUR_FIN_HG00171_R;1AMR_CLM_HG01114_R;1AMR_PEL_HG01573_R;1EUR_AKJ_NA24385_L;1EUR_FIN_HG00268_L;1AMR_PUR_HG00732_L;1AMR_MXL_NA19650_L;1AMR_PUR_HG00731_L;1EUR_FIN_HG00268_R;1AMR_MXL_NA19650_R;1EUR_CEU_NA12878_L;1EUR_TSI_NA20509_R;1AMR_PUR_HG00731_R;0EUR_IBS_HG01505_R;1EUR_FIN_HG00171_L;1SAS_BEB_HG03009_L;1EUR_CEU_NA12329_L;1AFR_ASW_NA19983_R;1SAS_ITU_HG04217_R;1SAS_BEB_HG03009_R;1SAS_PJL_HG02492_R;PanTro6
chrX_103989434_104049428	H2BW2_ENST00000675318.3	Usable: complete data	0.905813	1	0.014	-741.282	-741.289	s3_pos_run_2	s2_pur_run_2	0.9839	0	0.0161	0.36407	999	999	4.21882	True	True	True	True	2	0.4	43f7369bf40a3ea00b007973855e499e9b11d995be7bc19e311fe8802c3df104	-742.67	success	1	0.05	70b4a9bdf95e4feb32e456c66b1e602099bf62c0e0167a9c5cbb24a20e48cf5a	-741.289	success	3	2.5	05d523fcd230ed7b06832ff909c65001d04cb33d6d54cca9fa9420d1291ed3c6	-741.289	success	5	0.8	6245d3747df24a93395b7a318b3546608792b0711a5c363c82d1ca5fe9c8d4a7	-742.67	success	4.21884	0.36408	999	999	0.98385	0	0.01615	2	0.4	9f9b09dce32129d6b14774f3a4166d84372953a2f74fc71d81c1e61a27dc7b68	-741.289	success	4.14531	0	0	0.0001	0	0.09711	0.90289	1	0.05	08e4671ccda8e9fbb274e48d1d98e1c5d76400da1a726d1e76b018f711c5c1e4	-742.67	success	4.21882	0.36407	999	999	0.9839	0	0.0161	3	2.5	e6f3a4d547924d33d0f4278ab64311606bf559a48ec68f9af87763cbefa1b710	-741.282	success	4.14531	0.22225	0	0.0001	0	0.0971	0.9029	5	0.8	18e56f18c7ad1d96581d03a5361ae7a2d12d736a4febf6b5902f2134d54dc6f1	-742.67	success	40	40	40	40	51	51			success	success	0AFR_ASW_NA19983_L;0AFR_YRI_NA19238_R;0AFR_MSL_HG03486_L;0AFR_LWK_NA19434_L;0EAS_CDX_HG00864_R;0EAS_CDX_HG00864_L;1EUR_CEU_NA12329_R;0EAS_CHS_HG00513_R;0SAS_GIH_NA20847_L;0AMR_PUR_HG00732_R;0AMR_PEL_HG02106_L;0EUR_FIN_HG00268_L;0AMR_PEL_HG01573_R;1AMR_PEL_HG01573_L;1AMR_PEL_HG02106_R;1AMR_PUR_HG00732_L;1SAS_ITU_HG04217_R;1AFR_GWD_HG02587_R;0AMR_CLM_HG01352_L;0AMR_CLM_HG01114_L;0SAS_GIH_NA20847_R;0EAS_KHV_HG02018_R;0AFR_LWK_NA19434_R;PanTro6;0AFR_GWD_HG02587_L;0AFR_GWD_HG02818_L;0AFR_GWD_HG02818_R;1AFR_ASW_NA19983_R;1AFR_YRI_NA19238_L;1AFR_LWK_NA19036_L;1AFR_LWK_NA19036_R;1AFR_ESN_HG03125_L;1AFR_ESN_HG03125_R;0AFR_MSL_HG03486_R;1EAS_JPT_NA18939_L;1EAS_KHV_HG02018_L;1EAS_KHV_HG02059_R;1EUR_CEU_NA12878_R;1EUR_FIN_HG00171_L;1EUR_FIN_HG00171_R	0AFR_ASW_NA19983_L;0AFR_YRI_NA19238_R;0AFR_MSL_HG03486_L;0AFR_LWK_NA19434_L;0EAS_CHS_HG00513_R;0AMR_PUR_HG00732_R;0AMR_PEL_HG02106_L;0SAS_GIH_NA20847_L;0EUR_FIN_HG00268_L;1EUR_CEU_NA12329_R;0EAS_CDX_HG00864_R;0EAS_CDX_HG00864_L;0AMR_PEL_HG01573_R;1AMR_PEL_HG01573_L;1AMR_PEL_HG02106_R;1AMR_PUR_HG00732_L;1SAS_ITU_HG04217_R;0EAS_KHV_HG02018_R;1AFR_GWD_HG02587_R;0AMR_CLM_HG01352_L;0AMR_CLM_HG01114_L;0SAS_GIH_NA20847_R;0AFR_LWK_NA19434_R;0AFR_GWD_HG02587_L;0AFR_GWD_HG02818_L;0AFR_GWD_HG02818_R;1AFR_ASW_NA19983_R;1AFR_YRI_NA19238_L;1AFR_LWK_NA19036_R;1AFR_LWK_NA19036_L;1AFR_ESN_HG03125_L;1AFR_ESN_HG03125_R;1EAS_JPT_NA18939_L;1EAS_KHV_HG02018_L;1EAS_KHV_HG02059_R;1EUR_CEU_NA12878_R;1EUR_FIN_HG00171_L;1EUR_FIN_HG00171_R;0AFR_MSL_HG03486_R;PanTro6
chr7_73113989_74799029	VPS37D_ENST00000324941.5	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr2_87987171_111255403	ENSG00000293584_ENST00000715207.1	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr17_16823490_18384190	NT5M_ENST00000389022.9	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr2_87987171_111255403	SLC5A7_ENST00000264047.3	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr2_130138212_131200602	SMIM39_ENST00000711663.1	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr2_130138212_131530534	SMIM39_ENST00000711663.1	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr2_87987171_111255403	SH3RF3_ENST00000309415.8	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr17_45585159_46292045	MAPT_ENST00000262410.10	Usable: complete data	0.0338949	0.318612	4.5	-3490.27	-3492.52	s4_mix_run_2	s4_mix_run_2	0.99827	5e-05	0.00168	0.44501	999	0.0001	38.5861	True	True	True	True	2	0.4	6d3697e699fa23e8ca20505d88be79fba090ae4aec4878b10499bf50b78644b1	-3532.91	success	1	0.05	1dafd5f55a63ad4e3b684b2c12b7a3d8815cfb90a9ac9ae2d239a6e5140a10ac	-3533	success	3	2.5	05cafb4c8d042ee85ec060d1a41cce186334b347a7884e3919c1225ae50d369f	-3493.49	success	5	0.8	cd591e1db28ad28ff452b6e0f3396b6ae1b1bf7fc5e82aa39e6d929f6990bc76	-3492.52	success	26.8715	0	0	27.9033	0.82681	0.1454	0.02779	2	0.4	3b4da5da876cc4a93ba3ccc1fd943f4c24437c9d7f315a777914d67a95712c7f	-3532.81	success	24.8735	0	0	0.0001	0.67202	0.32798	0	1	0.05	cc11e4b71769d52b5c4b7a859a87020d3956f9881a7e9c9946c08f8a112c5f3a	-3534.59	success	38.6849	0.00097	999	0.0001	0.54916	0.44916	0.00168	3	2.5	7692bb64c385f82d6b131ba434f91ea21932276c25bc13b2ddbc06af10971b8b	-3490.28	success	38.5861	0.44501	999	0.0001	0.99827	5e-05	0.00168	5	0.8	8c23e7633268476fbe306788000a84a6d3cecf25cd549bdc89a02b24b70cb6ac	-3490.27	success	83	83	83	83	83	83			success	success	0AFR_ACB_HG02011_L;0AFR_LWK_NA19036_L;0AFR_LWK_NA19434_L;0AFR_LWK_NA19434_R;0AFR_ESN_HG03371_L;0AMR_PEL_HG01573_R;0SAS_PJL_HG02492_L;0EAS_CDX_HG00864_R;0SAS_BEB_HG03009_L;0AMR_MXL_NA19650_R;0AMR_PUR_HG00731_L;0EUR_FIN_HG00268_L;0EUR_CEU_NA12878_R;0EUR_IBS_HG01505_R;0SAS_ITU_HG03732_R;0SAS_ITU_HG03732_L;0EUR_FIN_HG00171_L;0SAS_ITU_HG04217_R;0SAS_STU_HG03683_R;0SAS_PJL_HG02492_R;0AFR_MSL_HG03486_R;0EAS_CHS_HG00512_R;0EAS_KHV_HG01596_L;0SAS_STU_HG03683_L;0EAS_KHV_HG02018_R;0EAS_KHV_HG02018_L;0EUR_CEU_NA12329_R;0EUR_CEU_NA12878_L;0AMR_CLM_HG01352_R;0AMR_PUR_HG00732_L;0AMR_PUR_HG00731_R;0EAS_CHB_NA18534_L;0EAS_KHV_HG02059_L;0EAS_KHV_HG02059_R;0EAS_CHB_NA18534_R;0EAS_CHS_HG00512_L;0AMR_CLM_HG01114_L;0AMR_CLM_HG01352_L;0AMR_MXL_NA19650_L;0AMR_PUR_HG00732_R;0EUR_FIN_HG00268_R;0EUR_GBR_HG00096_L;0AMR_PEL_HG01573_L;0EAS_CHS_HG00513_R;0EAS_JPT_NA18939_R;0AMR_PEL_HG02106_L;0EAS_CDX_HG00864_L;0EAS_CHS_HG00513_L;0EAS_JPT_NA18939_L;0AMR_PEL_HG02106_R;0SAS_ITU_HG04217_L;0EAS_KHV_HG01596_R;0EUR_FIN_HG00171_R;0EUR_AKJ_NA24385_L;0SAS_GIH_NA20847_L;0AFR_MSL_HG03065_R;0AFR_YRI_NA19239_R;0AFR_ASW_NA19983_R;0AFR_MSL_HG03486_L;0AFR_ESN_HG03125_R;0AFR_YRI_NA19238_L;0AFR_YRI_NA19239_L;0AFR_GWD_HG02818_R;0AFR_LWK_NA19036_R;0AFR_GWD_HG02818_L;0AFR_GWD_HG02587_L;0AFR_ACB_HG02011_R;0AFR_YRI_NA19238_R;0AFR_ESN_HG03125_L;0AFR_ESN_HG03371_R;0AFR_MSL_HG03065_L;0AFR_GWD_HG02587_R;1AFR_ASW_NA19983_L;1AMR_CLM_HG01114_R;1EUR_CEU_NA12329_L;1EUR_IBS_HG01505_L;1EUR_TSI_NA20509_L;1SAS_GIH_NA20847_R;1SAS_BEB_HG03009_R;1EUR_GBR_HG00096_R;1EUR_AKJ_NA24385_R;1EUR_TSI_NA20509_R;PanTro6	0AFR_ACB_HG02011_L;0AFR_LWK_NA19036_L;0AFR_LWK_NA19434_L;0AFR_LWK_NA19434_R;0AFR_ESN_HG03371_L;0AMR_PEL_HG01573_R;0SAS_PJL_HG02492_L;0EAS_CDX_HG00864_R;0SAS_BEB_HG03009_L;0AMR_MXL_NA19650_R;0AMR_PUR_HG00731_L;0EUR_FIN_HG00268_L;0EUR_CEU_NA12878_R;0EUR_IBS_HG01505_R;0SAS_ITU_HG03732_R;0SAS_ITU_HG03732_L;0EUR_FIN_HG00171_L;0SAS_ITU_HG04217_R;0SAS_STU_HG03683_R;0SAS_PJL_HG02492_R;0AFR_MSL_HG03486_R;0EAS_CHS_HG00512_R;0EAS_KHV_HG01596_L;0SAS_STU_HG03683_L;0EAS_KHV_HG02018_R;0EAS_KHV_HG02018_L;0EUR_CEU_NA12329_R;0EUR_CEU_NA12878_L;0AMR_CLM_HG01352_R;0AMR_PUR_HG00732_L;0AMR_PUR_HG00731_R;0EAS_CHB_NA18534_L;0EAS_KHV_HG02059_L;0EAS_KHV_HG02059_R;0EAS_CHB_NA18534_R;0EAS_CHS_HG00512_L;0AMR_CLM_HG01114_L;0AMR_CLM_HG01352_L;0AMR_MXL_NA19650_L;0AMR_PUR_HG00732_R;0EUR_FIN_HG00268_R;0EUR_GBR_HG00096_L;0AMR_PEL_HG01573_L;0AMR_PEL_HG02106_R;0SAS_ITU_HG04217_L;0EAS_CHS_HG00513_R;0EAS_JPT_NA18939_R;0AMR_PEL_HG02106_L;0EAS_CDX_HG00864_L;0EAS_CHS_HG00513_L;0EAS_JPT_NA18939_L;0EAS_KHV_HG01596_R;0EUR_FIN_HG00171_R;0EUR_AKJ_NA24385_L;0SAS_GIH_NA20847_L;0AFR_MSL_HG03065_R;0AFR_YRI_NA19239_R;0AFR_ASW_NA19983_R;0AFR_MSL_HG03486_L;0AFR_ESN_HG03125_R;0AFR_YRI_NA19238_L;0AFR_YRI_NA19239_L;0AFR_GWD_HG02818_R;0AFR_LWK_NA19036_R;0AFR_GWD_HG02818_L;0AFR_GWD_HG02587_L;0AFR_ACB_HG02011_R;0AFR_YRI_NA19238_R;0AFR_ESN_HG03125_L;0AFR_ESN_HG03371_R;0AFR_MSL_HG03065_L;0AFR_GWD_HG02587_R;1AFR_ASW_NA19983_L;1AMR_CLM_HG01114_R;1EUR_CEU_NA12329_L;1EUR_IBS_HG01505_L;1EUR_TSI_NA20509_L;1SAS_GIH_NA20847_R;1SAS_BEB_HG03009_R;1EUR_GBR_HG00096_R;1EUR_AKJ_NA24385_R;1EUR_TSI_NA20509_R;PanTro6
chr9_87942696_88110274	ENSG00000283205_ENST00000636536.1	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr15_23345459_28389868	SNRPN_ENST00000390687.9	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr2_87987171_111255403	RPIA_ENST00000283646.5	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr15_23345459_28389868	NPAP1_ENST00000329468.5	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr7_73113989_74799029	CLIP2_ENST00000223398.11	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr15_23345459_28389868	GOLGA8F_ENST00000526619.7	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr2_87987171_111255403	RGPD4_ENST00000408999.4	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
chr2_87987171_111255403	GCC2_ENST00000309863.11	Excluded (or unable to calculate)						all_fail	all_fail																																																																																								partial_success	partial_success		
